"gene","excitatory_mean","inhibitory_mean"
"PC",4.359636911068,4.29676072904012
"PCA3",4.66778658807529,1.86398676211192
"PCARE",0.261712875014941,1.85725389925919
"PCAT1",0.238456453416227,0.189841856353105
"PCAT14",0.193558137197267,0.467887981318508
"PCAT18",14.7766766410833,4.98133866078175
"PCAT19",0.0180434969629226,0.02197409312095
"PCAT4",0.0752662301635341,0.0341822908829765
"PCAT5",0.307128962404992,0.200528996917909
"PCAT6",1.88266709815114,2.07768915079159
"PCAT7",0.781439227729952,0.425399656266883
"PCBD1",39.1617600385675,46.8340220900679
"PCBD2",0.47679242183568,0.557782183075416
"PCBP1",186.891689578028,138.962675574299
"PCBP1-AS1",3.22773461052775,3.55438966477314
"PCBP2",3.70484930309001,4.37367113932769
"PCBP2-OT1",74.3673643853105,68.6722581981047
"PCBP3",0.663321817970141,0.915867693951459
"PCBP3-AS1",2.78468062694305,3.24807259281012
"PCBP4",12.2540463968966,15.1103767320333
"PCCA",5.22754123340682,5.4525270868625
"PCCA-AS1",4.78176597417612,6.34880303237777
"PCCA-DT",8.1475681497356,11.7481839101376
"PCCB",0.401839969463901,0.60148899370165
"PCDH1",3.93002491613233,2.98709215203227
"PCDH10",26.7665265525297,28.7533566684654
"PCDH10-DT",4.09472292804506,4.42579096494249
"PCDH11X",0.441719802133723,1.55854867509747
"PCDH11Y",0.356161467248417,0.692032636002253
"PCDH12",14.5961758640275,17.0162927213117
"PCDH15",0.238298720673118,0.997827577109859
"PCDH17",2.5841059197194,1.77059261302225
"PCDH18",0.188147949452105,2.20074379860776
"PCDH19",6.85971785583302,11.7813178224649
"PCDH20",20.4733615119155,16.1750733852495
"PCDH7",6.02157049063476,4.64546527770812
"PCDH8",30.2509075586584,30.4831143960457
"PCDH9",112.044922250439,69.4601355527094
"PCDH9-AS1",789.513203142736,430.157724659251
"PCDH9-AS2",100.235117450549,68.9461581325318
"PCDH9-AS3",206.025938869718,138.851223820579
"PCDH9-AS4",122.221996180925,74.3280209302706
"PCDHA1",0.410964468874171,0.935232796603271
"PCDHA10",7.8018290463547,9.84940289701588
"PCDHA11",1.34543097399409,1.69749209973127
"PCDHA12",2.75911286937725,3.56091552524195
"PCDHA13",1.11598729406627,1.60560196978199
"PCDHA2",2.21931433095375,3.52600570344235
"PCDHA3",3.22089427750867,5.60436196341565
"PCDHA4",7.01164587106682,7.994597977508
"PCDHA5",9.26911871050459,11.2864900422361
"PCDHA6",2.06796951582767,2.73193088132941
"PCDHA7",1.75185273390884,2.18446662348132
"PCDHA8",0.830067862428639,1.35858602883954
"PCDHA9",6.00827254352896,6.73312583494387
"PCDHAC1",1.73009414640632,2.63771890250919
"PCDHAC2",8.82435133928918,14.2121461690669
"PCDHB1",0.250321156995655,0.246671658150126
"PCDHB1-AS1",2.48424291503232,2.04133831823398
"PCDHB10",12.5210949533401,19.3481169403258
"PCDHB11",11.045336797721,13.8480265978619
"PCDHB12",5.78318527682835,8.09777402808096
"PCDHB13",13.2641157497315,14.7836270193489
"PCDHB14",6.36014596684574,7.26634603084101
"PCDHB15",10.6534192837129,10.7776185616818
"PCDHB16",14.5752915147767,14.5258512977071
"PCDHB18P",4.49900494327861,5.38008149297259
"PCDHB2",3.20254960590763,2.58964869880311
"PCDHB3",5.37536542861959,6.49038997489594
"PCDHB4",11.5573753879885,13.3033241213212
"PCDHB5",2.10497832564075,2.40539286873024
"PCDHB6",4.35363758197314,3.52301263510546
"PCDHB7",5.8162372333904,5.45185269694518
"PCDHB8",3.24450120834753,2.27795514561289
"PCDHB9",1.85674667878559,1.80587438030704
"PCDHGA1",1.47472563475713,3.16825038749816
"PCDHGA10",16.9539333011912,20.4387454701479
"PCDHGA11",1.12704382179667,1.80923260985934
"PCDHGA12",1.62114653827771,2.09596972294549
"PCDHGA2",2.04564327335504,3.61214742736726
"PCDHGA3",1.06156326929719,2.28749479450925
"PCDHGA4",0.782551661801939,1.36305377712666
"PCDHGA5",3.66233236688671,7.2689545205033
"PCDHGA6",4.483114557134,7.07308672044998
"PCDHGA7",1.98971393702228,3.84383598773786
"PCDHGA8",3.09491988252958,4.99470993415387
"PCDHGA9",2.11213691072689,4.26140993747037
"PCDHGB1",0.698706513328342,1.22179088518109
"PCDHGB2",0.800490166559906,1.57211859321306
"PCDHGB3",1.02246012221139,2.09852536909077
"PCDHGB4",7.04366023737447,11.8955585929038
"PCDHGB5",1.2132592915924,2.4232447903862
"PCDHGB6",6.01377037224799,8.50513471093846
"PCDHGB7",1.44697235969862,2.73406864446856
"PCDHGB8P",7.05866536960821,13.0449048889085
"PCDHGC3",3.57779494087247,6.831862284018
"PCDHGC4",3.99399795846388,8.95605286428682
"PCDHGC5",115.02533280914,175.673910775991
"PCED1A",15.7288959620176,18.3116241902384
"PCED1B",0.981260649002769,0.130517041400781
"PCED1B-AS1",0.713585788547507,0.0921608261337805
"PCF11",9.34305524882989,11.6878277333179
"PCF11-AS1",77.2001038273024,84.7912383810836
"PCGEM1",0.14573296932164,0.0416276733955718
"PCGF1",7.87542022488353,6.88079616117353
"PCGF2",9.95299260129047,10.0425919925432
"PCGF3",35.3297190129242,44.3324939744506
"PCGF3-AS1",37.3917263095872,45.5885478675599
"PCGF5",14.8365897588225,21.8455447903134
"PCGF6",11.9419611898887,11.0914583805854
"PCHILR",97.5766167745588,123.796779803412
"PCID2",16.6758349677607,13.9526625490152
"PCIF1",16.5049127691858,18.4103568377873
"PCK1",0.0214223496642518,0.010628216213296
"PCK2",0.469323777207719,0.997514518663624
"PCLAF",0.702512434879204,0.587180719029853
"PCLO",39.3775568114012,49.0618338646412
"PCM1",26.0517087906752,28.3687903647308
"PCMT1",9.50082892254638,7.0453236105359
"PCMTD1",29.6374508971248,34.6655301879341
"PCMTD1-DT",2.80911204625376,4.23665128598759
"PCMTD2",30.8464213018115,27.1465691645995
"PCNA",14.8268931645438,16.4841967567984
"PCNP",7.34526095353189,8.29167160175287
"PCNT",2.96722101153743,3.17064246375186
"PCNX1",6.69529968726447,8.05019950847447
"PCNX2",29.5544394682874,26.1702537744768
"PCNX3",0.824533960731753,1.01636166585424
"PCNX4",3.43949344493257,4.16132227610047
"PCNX4-DT",2.56529943420699,2.90199678979891
"PCOLCE",1.83319714774994,8.04332945295491
"PCOLCE-AS1",1.27648191965689,5.58857441175421
"PCOLCE2",0.531359069935673,0.586781172270288
"PCOTH",1.60842632452035,2.57741569556311
"PCP2",1.64247048174769,1.33210703285826
"PCP4",131.281236321618,44.7380314584181
"PCP4L1",18.1816371595994,99.1522106948988
"PCSEAT",0.00112506842785176,0.00989544720554118
"PCSK1",17.9213929911618,4.363192515008
"PCSK1N",697.303917148411,855.932799602621
"PCSK2",41.73691966724,29.9327526545511
"PCSK4",2.52343465800193,2.55838267156558
"PCSK5",1.15393243155777,3.51489685469089
"PCSK6",1.65402727232089,1.97252579059048
"PCSK6-AS1",12.3208446029521,15.7536298669031
"PCSK7",25.8132356712149,22.0459657285477
"PCSK9",0.0507939361055729,0.04131608279015
"PCTP",3.34645979967381,5.66436117297152
"PCYOX1",2.65379861360845,3.52882492500052
"PCYOX1L",5.08352355894856,6.58974909251157
"PCYT1A",7.51694412033612,8.19775229396882
"PCYT1B",2.96977701302967,3.32487749202462
"PCYT1B-AS1",0.178203087231741,0.116276089875765
"PCYT2",4.65986918221906,3.94951904175506
"PDAP1",41.784826437514,39.84919591836
"PDC",17.0161367892738,15.4837287046535
"PDC-AS1",2.85994668110424,2.88445607108046
"PDCD1",0.0155994322242588,0.0998526835910412
"PDCD10",7.74759686580659,5.15145791938882
"PDCD11",7.74041053137282,6.23037927929847
"PDCD1LG2",7.63399304234047,9.4444542732993
"PDCD2",7.12026811999259,7.72475510141482
"PDCD2L",8.35139666907822,8.55220845793294
"PDCD4",22.3617949393092,31.326504799354
"PDCD4-AS1",2.78720167730294,4.92858929398172
"PDCD5",61.7490932317177,66.7753608030903
"PDCD6",15.6783400869171,12.4889846328904
"PDCD6-AHRR",0.616281479924191,0.602772633213706
"PDCD6-DT",12.5865329519731,14.8148914523916
"PDCD6IP",5.98658341625673,5.47131371639762
"PDCD6IP-DT",5.0439626716754,4.50028582498114
"PDCD7",65.1757416757353,67.7945626266647
"PDCL",16.7310714598638,27.4190238712862
"PDCL2",0.308643052489388,3.16624998781835
"PDCL3",11.1720616250903,9.15156921171677
"PDE10A",3.46277563719139,4.1955424269006
"PDE11A",0.205519453513624,0.753061334097165
"PDE11A-AS1",0.110787731563008,0.509536630539977
"PDE12",19.4274622294431,19.4409332705562
"PDE1A",15.9665187576644,5.09789883759023
"PDE1B",13.8096620720674,9.32100168908165
"PDE1C",5.56652058121188,10.8697920124048
"PDE2A",20.6556459232776,12.4548117325028
"PDE2A-AS1",3.94166834565119,2.62124584815686
"PDE2A-AS2",26.7014217009906,22.0873794409413
"PDE3A",0.283861402883267,6.53405792264953
"PDE3A-AS1",0.479870321778729,11.5420391541023
"PDE3B",11.7040019294,15.6645141018612
"PDE4A",25.5560474179093,35.1516172607788
"PDE4B",1.99984299027379,3.16946998701319
"PDE4B-AS1",21.873089016304,51.9343754665318
"PDE4C",3.64635927236227,1.13758037371567
"PDE4D",24.3427415893971,16.638453964353
"PDE4DIP",3.24743336403044,3.14911766523321
"PDE4DIPP4",0.168496962646894,0.550019920602059
"PDE5A",26.1623081747513,25.9119088647047
"PDE6A",2.34226713779261,1.71189620724161
"PDE6B",3.91196722389807,5.53423434796984
"PDE6B-AS1",11.5918412887594,19.0897629304928
"PDE6C",13.5728952989622,18.4145673074893
"PDE6D",11.0277322098407,13.0333694687339
"PDE6G",0.16908939643205,0.149878324845174
"PDE6H",4.33960478458541,0.994572198156706
"PDE7A",15.4948344304415,17.0791395045586
"PDE7A-DT",3.01166511810375,2.47627551690187
"PDE7B",2.81329135696851,4.21724997838231
"PDE7B-AS1",4.31771076040577,9.01776394842577
"PDE8A",3.28201582796794,6.68722704719917
"PDE8B",25.7250043853613,30.4421759841599
"PDE9A",0.181561489688991,0.587485720260361
"PDE9A-AS1",1.30373338348921,4.7992394427946
"PDF",68.8059708746647,64.6800832338118
"PDGFA",34.7095959688808,22.0127487892086
"PDGFA-DT",1.99438170884285,1.54697773224297
"PDGFB",10.2784077072664,3.34324483944462
"PDGFC",7.46370352961312,2.86777270777614
"PDGFD",1.76872973032938,4.78298195125787
"PDGFRA",1.030765126838,6.84212680137129
"PDGFRB",7.72803811130235,2.42376776177501
"PDGFRL",7.65650392584212,31.7562311008664
"PDHA1",7.94475820674649,8.06639645575825
"PDHA2",0.00537241884674118,0
"PDHB",8.69910123949059,9.92214168895965
"PDHX",4.09714969997415,4.18718994241189
"PDIA2",43.1683900810029,50.427037816603
"PDIA3",5.11350089295034,5.68763872342073
"PDIA4",4.18525652583839,5.7472229767107
"PDIA5",5.57735486271227,3.97040219824101
"PDIA6",12.873370311002,10.2098986642974
"PDIK1L",7.29802781776051,8.84725506925365
"PDILT",0.057684122824,0.0289337326312247
"PDK1",12.8074593806267,13.1985416280776
"PDK2",6.17121553904541,5.25791883850703
"PDK3",36.6479818362404,27.7156746579245
"PDK4",2.27425260074665,2.67928050085922
"PDK4-AS1",1.1457489813547,1.09436744108591
"PDLIM1",1.27027871903819,0.600771915525881
"PDLIM2",2.74202754634706,2.01916179875653
"PDLIM3",0.935851715544153,0.516248713230812
"PDLIM4",0.245672316903613,0.310295414684253
"PDLIM5",0.287352233490388,0.846743301315873
"PDLIM7",10.2489871428652,6.980413234238
"PDLIM7-AS1",0.946578786034694,1.24068474895309
"PDP1",6.61533675164489,2.76081982193474
"PDP2",4.28191632263753,4.64969605848329
"PDPK1",4.88783250378258,4.05994414267623
"PDPN",1.54897448253695,1.31777494991728
"PDPR",0.813234536690336,0.983135507000837
"PDRG1",30.3065483067839,24.4252676417264
"PDS5A",26.7877066917937,26.9949036794586
"PDS5B",20.4813671458972,21.0049755750849
"PDSS1",3.35705974340225,6.45144812454332
"PDSS2",6.11434214221376,6.14057063692518
"PDX1",1.90290533959946,1.96520890861571
"PDXDC1",17.8255244693733,22.1328707519898
"PDXDC2P-NPIPB14P",19.0795652276675,22.7398870984372
"PDXK",17.3942240847608,17.4692855943996
"PDXP",74.4611246982035,72.6777661931506
"PDXP-DT",1.77255375382298,0.527952534337888
"PDYN",1.19853492405024,1.02022849291608
"PDYN-AS1",0.300931549980573,0.057483863564653
"PDZD11",5.45449802144964,5.42359083957613
"PDZD2",12.1828447420767,7.05302872347012
"PDZD4",22.3783571437557,18.0955191446061
"PDZD7",15.4084686543797,8.72617218452753
"PDZD8",15.9563957501987,20.0915265645592
"PDZD9",9.68850067518529,10.7225222843124
"PDZK1",2.79533563557453,2.02152733932518
"PDZK1IP1",0.0233589966366824,0.0110896530940494
"PDZRN3",4.4612645436526,5.51779884971494
"PDZRN3-AS1",1.57271607544055,12.0386827960169
"PDZRN4",4.87716017668788,1.37142355662519
"PEA15",9.42346708294635,6.69215670921424
"PEAK1",6.95830241990588,3.36103542731261
"PEAK3",5.09563308408292,6.42573176643563
"PEAR1",0.0119702491046579,0.00949241350236577
"PEBP1",1007.21047485181,764.253260202562
"PEBP4",19.2596498206793,18.5323875933293
"PECAM1",1.36787591648304,0.94564427481033
"PECR",9.8377646003287,13.1195644293351
"PEDS1",8.61160448231694,7.95606365602223
"PEDS1-UBE2V1",119.314922686724,96.2060462165565
"PEF1",15.3778900558776,9.5330498298233
"PEF1-AS1",0.736660019480887,0.60462627833893
"PEG10",11.6853646532326,12.8426779735725
"PEG13",8.06713281756659,7.21493068965965
"PEG3",15.5277318580395,26.6122040244908
"PELATON",0.0167603821401986,0.00779098596125882
"PELI1",16.6781466304028,12.3288520032434
"PELI2",0.285592114924575,0.34172792153316
"PELI3",5.83921437965032,4.91504425210682
"PELO",8.25925667771424,13.2730690004483
"PELO-AS1",1.17905567696675,3.53350076270892
"PELP1",6.18038468624067,6.32230121908165
"PELP1-DT",3.82796658394578,4.709208947934
"PEMT",3.33312207212271,3.91826015370754
"PENK",1.04900338337947,7.22517198570744
"PENK-AS1",0.0826115152879659,0.228976457456643
"PEPD",1.81376889189245,1.32784617993901
